PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),Temperature in Cº,Relative Humidity (%),AH Absolute Humidity,CO(GT)
0.5974531847798596,-0.6992269839573371,0.9979929674100152,-0.5524172085230278,0.9286214896944902,0.8483404015999021,-0.11727477009616273,-0.43141564767985796,0.3977443945915402,1.787324425922137,-0.46638803585050653,0.945173851421636,9.0
-2.315956983352559,2.3796874430566626,-2.1104214361965545,1.8278378541974347,-0.8895502183165166,-1.4420530440036143,-1.193351517360023,1.6070186649098372,-1.337382250059496,-1.235946303486267,2.3379435732675424,1.4895296770599327e-05,955.0
0.26687536082421937,-0.8061337348953231,1.2688506540313345,-0.5507711123524051,0.5826638174757292,0.49428755024764537,-0.3324901195489348,-0.28226191749036805,0.6516653669794967,-1.235946303486267,-0.46638803585050653,0.9143816357728491,0.0
0.29468097218497413,-0.680900112367968,1.1140748331048664,-0.5376023429874233,0.6558957334928391,0.7297144462499192,-0.3324901195489348,-0.7297231080588378,0.9055863393674533,-1.235946303486267,-0.46638803585050653,1.0622653030334699,2.0
-0.051344413637752113,-0.8061337348953231,1.4784429115359268,-0.5474789200111596,0.4185233160580688,0.559988079364559,-0.3324901195489348,-0.6302872879325111,0.8632661773027938,0.7795675161193357,-0.46638803585050653,1.0707736784101083,5.0
-0.3170424777516312,-0.9344218360209064,1.9040764190837145,-0.5804008434236142,0.17357518317325263,0.26616071303613975,-0.3324901195489348,-0.6302872879325111,0.8632661773027938,-0.5641083636177328,-0.46638803585050653,1.0545672491212732,7.0
-0.5024132201566631,-1.0168927581730671,2.307138452746392,-0.611676670665446,0.022060874172335394,-0.12804246166534197,-0.3324901195489348,-0.5805693778693478,0.7363056911088155,1.45140545598787,-0.46638803585050653,0.9553028697271579,6.0
-2.442626990662664,3.2318869719623233,-2.162013376505377,1.4558201196366987,-1.5006579312868829,-1.4475280880966905,-0.762920818454479,2.25335149573096,-1.633623384512112,-1.235946303486267,2.5107259618651674,1.4895296770599327e-05,672.0
-0.7526637224034562,-1.0688188943429462,2.6844045162546584,-0.6396603055660324,-0.12187771937853598,-0.33426912250454305,-0.44009779427532086,-0.3816977376166947,0.8632661773027938,1.115486486053603,-0.46638803585050653,0.9735351026770974,3.0
-0.9009603163274817,-5.6832822908055494e-05,3.0906910461866373,1.2666337959277407e-05,-0.22541249719582943,-0.5514458715298964,-0.44009779427532086,-0.5805693778693478,0.9055863393674533,-0.5641083636177328,-0.46638803585050653,0.9204590467561624,7.0
